crisis_id,phase,start_date,end_date,phase_order
gfc_2008,pre_crisis,2004-01-01,2006-12-31,1
gfc_2008,cracks,2007-01-01,2008-09-14,2
gfc_2008,system_break,2008-09-15,2008-12-31,3
gfc_2008,spillover,2009-01-01,2010-12-31,4

dotcom_2000,pre_crisis,1997-01-01,1999-12-31,1
dotcom_2000,cracks,2000-01-01,2000-12-31,2
dotcom_2000,system_break,2001-01-01,2001-12-31,3
dotcom_2000,spillover,2002-01-01,2003-12-31,4

asian_1997,pre_crisis,1995-01-01,1997-06-30,1
asian_1997,cracks,1997-07-01,1997-10-26,2
asian_1997,system_break,1997-10-27,1998-01-31,3
asian_1997,spillover,1998-02-01,1999-12-31,4

sl_1980s,pre_crisis,1985-01-01,1988-12-31,1
sl_1980s,cracks,1989-01-01,1989-08-08,2
sl_1980s,system_break,1989-08-09,1990-12-31,3
sl_1980s,spillover,1991-01-01,1992-12-31,4
